area_name,lat,lon
Ameyoko market,35.710002,139.774504
Ameyoko market,35.710141,139.774536
Ameyoko market,35.710154,139.774622
Ameyoko market,35.709766,139.774724
Ameyoko market,35.70944,139.774777
Ameyoko market,35.709082,139.774847
Ameyoko market,35.70883,139.774842
Ameyoko market,35.70849,139.774826
Ameyoko market,35.708233,139.774767
Ameyoko market,35.707832,139.774681
Ameyoko market,35.707845,139.774525
Ameyoko market,35.70812,139.77459
Ameyoko market,35.708368,139.774665
Ameyoko market,35.708603,139.774702
Ameyoko market,35.70886,139.774713
Ameyoko market,35.709274,139.774654
Ameyoko market,35.70954,139.77459
Ameyoko market,35.710002,139.774504
