area_name,lat,lon
Kappabashi Kitchen Supply Town,35.710455,139.788022
Kappabashi Kitchen Supply Town,35.711273,139.788086
Kappabashi Kitchen Supply Town,35.711796,139.788129
Kappabashi Kitchen Supply Town,35.713225,139.788451
Kappabashi Kitchen Supply Town,35.713974,139.788709
Kappabashi Kitchen Supply Town,35.715141,139.788752
Kappabashi Kitchen Supply Town,35.716169,139.788902
Kappabashi Kitchen Supply Town,35.716901,139.788966
Kappabashi Kitchen Supply Town,35.716866,139.789395
Kappabashi Kitchen Supply Town,35.715716,139.789202
Kappabashi Kitchen Supply Town,35.714932,139.789116
Kappabashi Kitchen Supply Town,35.714409,139.789095
Kappabashi Kitchen Supply Town,35.713608,139.788923
Kappabashi Kitchen Supply Town,35.712807,139.788623
Kappabashi Kitchen Supply Town,35.71204,139.78858
Kappabashi Kitchen Supply Town,35.711134,139.788408
Kappabashi Kitchen Supply Town,35.710367,139.788344
Kappabashi Kitchen Supply Town,35.710455,139.788022
