category,subcategory,iconset,icon,color
Food and Drink,Restaurants by cuisine,fa,bowl-rice,black
Food and Drink,Specialty food experiences,fa,bowl-rice,black
Shopping,Famous stores and retail chains,fa,store,black
Shopping,Shopping districts,fa,store,black
Shopping,Traditional shopping,fa,store,black
Culture and History,Historical sites,fa,monument,black
Culture and History,Museums,fa,monument,black
Nature,Parks and Gardens,fa,tree,black
Nature,Outdoor destination,fa,tree,black
Entertainment,,fa,masks-theater,black
Sports,,fa,heart-pulse,black
Transportation Experiences,,fa,cable-car,black
Transportation,,fa,train,black
Wellness and Relaxation,,fa,spa,black
Architecture & Urbanism,,fa,archway,black
